date,actual_price,xrp_hybrid_pred
2025-07-08,2.3108,2.2703316126752813
2025-07-09,2.4038,2.3121622573839624
2025-07-10,2.5471,2.4087655408876865
2025-07-11,2.7322,2.559985131218675
2025-07-12,2.7395,2.756641117123036
2025-07-13,2.8361,2.7658793439195066
2025-07-14,2.9582,2.8670759766950065
2025-07-15,2.919,2.99479995064067
2025-07-16,3.038,2.9510286034205704
2025-07-17,3.4814,3.0735693565622246
2025-07-18,3.4135,3.542845172151294
2025-07-19,3.4244,3.46848568290105
2025-07-20,3.454,3.475654802523917
2025-07-21,3.5495,3.501629071306092
2025-07-22,3.5504,3.5967951018193944
2025-07-23,3.1838,3.5912011694379196
2025-07-24,3.1453,3.1970585938453615
2025-07-25,3.1423,3.1479780934032937
2025-07-26,3.1662,3.137761628886046
2025-07-27,3.2389,3.1576628791574204
2025-07-28,3.1235,3.2303779481478454
2025-07-29,3.128,3.108998107227436
2025-07-30,3.0966,3.111984975071913
2025-07-31,3.0224,3.078130933372998
2025-08-01,2.9613,3.0009650555665757
2025-08-02,2.7695,2.9364718103350693
2025-08-03,2.948,2.7350562576223947
2025-08-04,3.0716,2.9208032183463066
2025-08-05,2.9623,3.052246098175371
2025-08-06,2.9908,2.9416334067873433
2025-08-07,3.3197,2.972869713371176
2025-08-08,3.2859,3.319443232634329
2025-08-09,3.2259,3.2902734486736427
2025-08-10,3.187,3.2290280898041432
2025-08-11,3.1295,3.1878230838642616
2025-08-12,3.2676,3.1261502146753495
2025-08-13,3.2744,3.2691790785624066
2025-08-14,3.0792,3.276843668227059
2025-08-15,3.0779,3.071303549702581
2025-08-16,3.1055,3.0677582579777862
2025-08-17,3.0877,3.0954229652669056
2025-08-18,3.0616,3.07636241381871
2025-08-19,2.8608,3.0495556513900306
2025-08-20,2.9512,2.8380769288659358
2025-08-21,2.8519,2.930162967916685
2025-08-22,3.0744,2.8276995468802326
2025-08-23,3.0485,3.059922653809755
2025-08-24,3.0258,3.0337482299992926
